,number,neoficialiai,compound,years,kokia_kaina,kokia_kaina_compound,euro_nom,cent_nom,kiek_kainuoja,kiek_kainuoja_compound,euro_acc,cent_acc
0,1,vieni,,metai,vienas,,euras,centas,vieną,,eurą,centą
1,2,du,,metai,du,,eurai,centai,du,,eurus,centus
2,3,trys,,metai,trys,,eurai,centai,tris,,eurus,centus
3,4,keturi,,metai,keturi,,eurai,centai,keturis,,eurus,centus
4,5,penki,,metai,penki,,eurai,centai,penkis,,eurus,centus
5,6,šeši,,metai,šeši,,eurai,centai,šešis,,eurus,centus
6,7,septyni,,metai,septyni,,eurai,centai,septynis,,eurus,centus
7,8,aštuoni,,metai,aštuoni,,eurai,centai,aštuonis,,eurus,centus
8,9,devyni,,metai,devyni,,eurai,centai,devynis,,eurus,centus
9,10,dešimt,,metų,dešimt,,eurų,centų,dešimt,,eurų,centų
10,11,vienuolika,,metų,vienuolika,,eurų,centų,vienuoliką,,eurų,centų
11,12,dvylika,,metų,dvylika,,eurų,centų,dvyliką,,eurų,centų
12,13,trylika,,metų,trylika,,eurų,centų,tryliką,,eurų,centų
13,14,keturiolika,,metų,keturiolika,,eurų,centų,keturioliką,,eurų,centų
14,15,penkiolika,,metų,penkiolika,,eurų,centų,penkioliką,,eurų,centų
15,16,šešiolika,,metų,šešiolika,,eurų,centų,šešioliką,,eurų,centų
16,17,septyniolika,,metų,septyniolika,,eurų,centų,septynioliką,,eurų,centų
17,18,aštuoniolika,,metų,aštuoniolika,,eurų,centų,aštuonioliką,,eurų,centų
18,19,devyniolika,,metų,devyniolika,,eurų,centų,devynioliką,,eurų,centų
19,20,dvidešimt,,metų,dvidešimt,,eurų,centų,dvidešimt,,eurų,centų
20,21,dvidešimt,vieni,metai,dvidešimt,vienas,euras,centas,dvidešimt,vieną,eurą,centą
21,22,dvidešimt,du,metai,dvidešimt,du,eurai,centai,dvidešimt,du,eurus,centus
22,23,dvidešimt,trys,metai,dvidešimt,trys,eurai,centai,dvidešimt,tris,eurus,centus
23,24,dvidešimt,keturi,metai,dvidešimt,keturi,eurai,centai,dvidešimt,keturis,eurus,centus
24,25,dvidešimt,penki,metai,dvidešimt,penki,eurai,centai,dvidešimt,penkis,eurus,centus
25,26,dvidešimt,šeši,metai,dvidešimt,šeši,eurai,centai,dvidešimt,šešis,eurus,centus
26,27,dvidešimt,septyni,metai,dvidešimt,septyni,eurai,centai,dvidešimt,septynis,eurus,centus
27,28,dvidešimt,aštuoni,metai,dvidešimt,aštuoni,eurai,centai,dvidešimt,aštuonis,eurus,centus
28,29,dvidešimt,devyni,metai,dvidešimt,devyni,eurai,centai,dvidešimt,devynis,eurus,centus
29,30,trisdešimt,,metų,trisdešimt,,eurų,centų,trisdešimt,,eurų,centų
30,31,trisdešimt,vieni,metai,trisdešimt,vienas,euras,centas,trisdešimt,vieną,eurą,centą
31,32,trisdešimt,du,metai,trisdešimt,du,eurai,centai,trisdešimt,du,eurus,centus
32,33,trisdešimt,trys,metai,trisdešimt,trys,eurai,centai,trisdešimt,tris,eurus,centus
33,34,trisdešimt,keturi,metai,trisdešimt,keturi,eurai,centai,trisdešimt,keturis,eurus,centus
34,35,trisdešimt,penki,metai,trisdešimt,penki,eurai,centai,trisdešimt,penkis,eurus,centus
35,36,trisdešimt,šeši,metai,trisdešimt,šeši,eurai,centai,trisdešimt,šešis,eurus,centus
36,37,trisdešimt,septyni,metai,trisdešimt,septyni,eurai,centai,trisdešimt,septynis,eurus,centus
37,38,trisdešimt,aštuoni,metai,trisdešimt,aštuoni,eurai,centai,trisdešimt,aštuonis,eurus,centus
38,39,trisdešimt,devyni,metai,trisdešimt,devyni,eurai,centai,trisdešimt,devynis,eurus,centus
39,40,keturiasdešimt,,metų,keturiasdešimt,,eurų,centų,keturiasdešimt,,eurų,centų
40,41,keturiasdešimt,vieni,metai,keturiasdešimt,vienas,euras,centas,keturiasdešimt,vieną,eurą,centą
41,42,keturiasdešimt,du,metai,keturiasdešimt,du,eurai,centai,keturiasdešimt,du,eurus,centus
42,43,keturiasdešimt,trys,metai,keturiasdešimt,trys,eurai,centai,keturiasdešimt,tris,eurus,centus
43,44,keturiasdešimt,keturi,metai,keturiasdešimt,keturi,eurai,centai,keturiasdešimt,keturis,eurus,centus
44,45,keturiasdešimt,penki,metai,keturiasdešimt,penki,eurai,centai,keturiasdešimt,penkis,eurus,centus
45,46,keturiasdešimt,šeši,metai,keturiasdešimt,šeši,eurai,centai,keturiasdešimt,šešis,eurus,centus
46,47,keturiasdešimt,septyni,metai,keturiasdešimt,septyni,eurai,centai,keturiasdešimt,septynis,eurus,centus
47,48,keturiasdešimt,aštuoni,metai,keturiasdešimt,aštuoni,eurai,centai,keturiasdešimt,aštuonis,eurus,centus
48,49,keturiasdešimt,devyni,metai,keturiasdešimt,devyni,eurai,centai,keturiasdešimt,devynis,eurus,centus
49,50,penkiasdešimt,,metų,penkiasdešimt,,eurų,centų,penkiasdešimt,,eurų,centų
